source_player_id,source_player_name,datagolf_player_name,canonical_name,event_key,first_seen_at,last_seen_at
52689,Rasmus Neergaard-Petersen,"neergaard-petersen, rasmus","neergaard-petersen, rasmus",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
54304,Karl Vilips,"vilips, karl","vilips, karl",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
54421,Garrick Higgo,"higgo, garrick","higgo, garrick",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
54422,Christo Lamprecht,"lamprecht, christo","lamprecht, christo",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
54576,Patrick Fishburn,"fishburn, patrick","fishburn, patrick",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
54591,Ben Griffin,"griffin, ben","griffin, ben",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
54607,Danny Walker,"walker, danny","walker, danny",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
54628,Lee Hodges,"hodges, lee","hodges, lee",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
54783,Dylan Wu,"wu, dylan","wu, dylan",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
54788,Chandler Blanchet,"blanchet, chandler","blanchet, chandler",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
55182,Tom Kim,"kim, tom","kim, tom",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
55573,John VanDerLaan,"vanderlaan, john","vanderlaan, john",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
55851,Pontus Nyholm,"nyholm, pontus","nyholm, pontus",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
55893,Sam Stevens,"stevens, samuel","stevens, samuel",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
56630,Akshay Bhatia,"bhatia, akshay","bhatia, akshay",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
56762,Will Gordon,"gordon, will","gordon, will",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
56926,Keenan Huskey,"huskey, keenan","huskey, keenan",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
57123,Steven Fisk,"fisk, steven","fisk, steven",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
57362,Austin Eckroat,"eckroat, austin","eckroat, austin",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
57364,Michael Thorbjornsen,"thorbjornsen, michael","thorbjornsen, michael",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
57366,Cameron Young,"young, cameron","young, cameron",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
57586,Jesper Svensson,"svensson, jesper","svensson, jesper",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
57688,Casey Jarvis,"jarvis, casey","jarvis, casey",pga:R2026525,2026-07-28T20:00:15.857631+00:00,2026-07-28T20:02:01.510710+00:00
57869,Ben James,"james, ben","james, ben",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
57900,Chandler Phillips,"phillips, chandler","phillips, chandler",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
57975,Harry Hall,"hall, harry","hall, harry",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
58168,Davis Thompson,"thompson, davis","thompson, davis",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
58303,Ryan Celano,"celano, ryan","celano, ryan",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
59006,Davis Chatfield,"chatfield, davis","chatfield, davis",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
59018,Ryan Gerard,"gerard, ryan","gerard, ryan",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
59095,Chris Gotterup,"gotterup, chris","gotterup, chris",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
59141,Matt McCarty,"mccarty, matt","mccarty, matt",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
59143,Mac Meissner,"meissner, mac","meissner, mac",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
59440,Ricky Castillo,"castillo, ricky","castillo, ricky",pga:R2026524,2026-07-28T20:00:15.857631+00:00,2026-07-31T02:59:48.694915+00:00
59836,Pierceson Coody,"coody, pierceson","coody, pierceson",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
59862,Joe Hooks,"hooks, joe","hooks, joe",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
59866,Nick Dunlap,"dunlap, nick","dunlap, nick",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
60004,Jacob Bridgeman,"bridgeman, jacob","bridgeman, jacob",pga:R2026524,2026-07-31T02:21:26.776249+00:00,2026-07-31T02:59:48.694915+00:00
