player_name,category_clean,mean,std,skew,excess_kurtosis,n,n_eff,distribution_source,category_profile_shrinkage_adjustment,category_profile_shrinkage_factor,course_history_category_signal,course_history_category_raw_adjustment,course_history_category_adjustment
"campbell, brian",sg_arg,-0.17464428725036552,1.1004045116861743,-0.4442792908945349,0.22053652124927403,125,49.331158071953396,player_ema,0.0,1.0,-0.851002665788782,-0.0,-0.002698432515052099
"campbell, brian",sg_ott,-0.6167659318131423,0.8956256027182397,-0.49448760732054864,0.323655423773916,125,49.331158071953396,player_ema,-0.0,1.0,0.4317492024083358,0.010793730060208395,0.008095297545156296
"campbell, brian",sg_putt,-0.219143328157538,1.6405044327435094,0.12085362347728845,-0.7024168192781572,125,49.331158071953396,player_ema,0.0,1.0,-0.5675515083892687,-0.0,-0.002698432515052099
"campos, rafael",sg_app,-0.24890717463363055,1.456825601436549,-0.01951249042646309,-0.5154204306956678,203,49.97028816723939,player_ema,0.0,1.0,1.7961794028755684,0.0,0.0010936176147891602
"campos, rafael",sg_arg,-0.4066278307114747,1.2108637754902463,-1.4883524047520098,4.172542523295612,203,49.97028816723939,player_ema,-0.0,1.0,0.7140855636647798,0.0,0.0010936176147891602
"campos, rafael",sg_ott,-0.35854347355853783,1.0185057165175222,-0.21839427102880238,-0.17099448104217485,203,49.97028816723939,player_ema,0.0,1.0,-0.1749788183662656,-0.004374470459156641,-0.0032808528443674803
"campos, rafael",sg_putt,-0.5844689733954052,1.7974739044773542,0.023763682007733978,-0.45368803968853744,203,49.97028816723939,player_ema,-0.0,1.0,0.7066571086916862,0.0,0.0010936176147891602
"castillo, ricky",sg_app,-0.25219864411611354,1.5782145809825505,0.17800447951103765,-0.03929489293746835,127,49.382269974347324,player_ema,-0.0,1.0,-0.5164771505082569,-0.0,0.0014193634808233376
"castillo, ricky",sg_arg,0.14016238285491198,1.1729214946652857,0.29746086809164557,0.6895330690477106,127,49.382269974347324,player_ema,0.0,1.0,1.2084164509270576,0.0,0.0014193634808233376
"castillo, ricky",sg_ott,0.2484845893651161,0.878547571832001,-0.34490896557452705,-0.28090279620941505,127,49.382269974347324,player_ema,0.0,1.0,-0.227098156931734,-0.0056774539232933505,-0.004258090442470013
"castillo, ricky",sg_putt,0.2660561427676067,1.4382307196543234,0.009502199571620623,-0.2638675797107797,127,49.382269974347324,player_ema,0.0,1.0,5.49216429858869,0.0,0.0014193634808233376
"cauley, bud",sg_app,0.3643995865236441,1.3945190606324185,0.1966419088877765,0.709340148985595,236,49.99206258925942,player_ema,0.0,1.0,0.8265974371849314,0.0,-0.009492393506892599
"cauley, bud",sg_arg,0.34309910018957,0.9590224090397834,-0.3060863648302927,-0.2503183252673593,236,49.99206258925942,player_ema,0.0,1.0,-0.3293075032318718,-0.0,-0.009492393506892599
"cauley, bud",sg_ott,0.15060910022482388,1.0054285527921643,-0.6907578896992503,0.04481155275758475,236,49.99206258925942,player_ema,-0.0,1.0,1.5187829611028156,0.037969574027570396,0.028477180520677797
"cauley, bud",sg_putt,0.02290345092202673,1.7044993632292509,0.02034385664550337,-0.3646206786015016,236,49.99206258925942,player_ema,-0.0,1.0,-5.730762073869496,-0.0,-0.009492393506892599
"chatfield, davis",sg_app,0.21995189234023566,1.35513460219331,-0.47825645088031576,-0.14113658464796863,43,34.815838065661005,player_ema,0.0,1.0,0.0,0.0,0.0
"chatfield, davis",sg_arg,-0.06451461636760009,0.898511510869738,0.18825775551741422,-0.3620911611037476,43,34.815838065661005,player_ema,-0.0,1.0,0.0,0.0,0.0
"chatfield, davis",sg_ott,-0.4714180582551413,0.7151525061972136,-0.1851984443108585,-0.2981058765052538,43,34.815838065661005,player_ema,-0.0,1.0,0.0,0.0,0.0
