player_name,simulated_win_prob,top_5,top_10,top_20,top_5_nodh,top_10_nodh,top_20_nodh
"im, sungjae",0.0004746666666666667,0.018051460317460317,0.09830304292929293,0.35611730608851927,0.02741,0.13468,0.42828
"castillo, ricky",0.0,0.00036932142857142855,0.005351529942279942,0.05304281390479146,0.00074,0.00919,0.07679
"koepka, brooks",0.0,3.0166666666666667e-05,0.0007697940115440116,0.010786918012543013,5e-05,0.00135,0.01715
"suber, jackson",0.00030683333333333333,0.0137060955988456,0.08509285173160173,0.33243316345664137,0.02184,0.11916,0.40352
"collet, tyler",0.0,0.0003757023809523809,0.005912635642135642,0.06062128040316237,0.0008,0.00985,0.0878
"phillips, chandler",0.0004106666666666666,0.01510231746031746,0.0826573576146076,0.3045639258902862,0.02322,0.11333,0.36926
"kim, michael",0.0001285,0.0063424166666666655,0.03731508766233767,0.16357922586237295,0.00973,0.05248,0.20792
"koivun, jackson",0.001934440476190476,0.05936344985569986,0.24526598229548233,0.6123067531439149,0.08615,0.31128,0.68745
"smalley, alex",0.09817780952380951,0.5235600768398267,0.7962772896825397,0.9497287051902347,0.59425,0.84393,0.96559
"saddier, adrien",0.0,0.0,9.523809523809523e-06,0.0006962273282273281,0.0,2e-05,0.0013
"akina, kihei",0.0,0.0,1.2e-05,0.00041846572871572874,0.0,2e-05,0.00075
"roy, kevin",0.0007847619047619046,0.026879952380952383,0.13444751814851813,0.4322480995303715,0.04006,0.18051,0.50843
"bezuidenhout, christiaan",2e-05,0.002541837662337662,0.028401599206349205,0.20066961164978814,0.00471,0.04535,0.26688
"hughes, mackenzie",0.0,0.0,0.00015381349206349207,0.00487718043068043,0.0,0.00034,0.00833
"hojgaard, rasmus",0.0,1.2e-05,0.00019883333333333333,0.003572389138639139,2e-05,0.00038,0.00578
"novak, andrew",9.092857142857142e-05,0.0045086551226551225,0.033133079365079365,0.17380454088068792,0.00722,0.04865,0.22464
"echavarria, nicolas",0.008086214285714283,0.130610101010101,0.3696388168220668,0.698088870612231,0.17239,0.43908,0.75764
"spieth, jordan",0.0003133333333333334,0.01603158766233766,0.08743478932178932,0.3181276842903828,0.02477,0.11907,0.38617
"dahmen, joel",0.00015,0.00883568253968254,0.06013864163614164,0.27877852408457554,0.01425,0.08704,0.34966
"fishburn, patrick",4.4500000000000004e-05,0.002624694805194805,0.01928790079365079,0.10903914129416335,0.0043,0.02881,0.14505
"hirata, kensei",0.0,3.3333333333333333e-06,3.566666666666667e-05,0.001067685175935176,1e-05,6e-05,0.00188
"olesen, thorbjorn",3.5e-05,0.0015898253968253965,0.014907800616050617,0.09452411583651985,0.00273,0.02312,0.12775
"van rooyen, erik",0.0016072619047619045,0.04476294660894661,0.18907552847152845,0.5071508354559527,0.06482,0.24318,0.58075
"streelman, kevin",0.0,0.00040278571428571425,0.005696719336219337,0.05572269476765065,0.00077,0.00969,0.08031
"rai, aaron",2e-05,0.0006963412698412698,0.008779597985347986,0.08120750506085762,0.00126,0.01454,0.11497
"lower, justin",0.0,0.0004245079365079365,0.0053561389998890005,0.052584594386006156,0.00081,0.00877,0.0763
"chatfield, davis",0.0,0.0,0.00013726984126984125,0.005153032162282163,0.0,0.00026,0.00938
"ventura, kristoffer",5e-06,0.0008145238095238095,0.007847071428571429,0.06698704450288274,0.00144,0.01271,0.09413
"nyholm, pontus",0.0,5e-06,6.591269841269842e-05,0.0018420094072594073,1e-05,0.00015,0.00306
"putnam, andrew",3.3333333333333333e-06,0.0003264404761904762,0.0047323518426018426,0.04285155981518481,0.00062,0.00794,0.06206
"walker, danny",0.0,3.75e-05,0.0007491587301587302,0.010197660922410921,8e-05,0.00133,0.0155
"taylor, nick",0.0,0.0,1.55e-05,0.0007286170773670772,0.0,6e-05,0.00138
"kirk, chris",0.0,1.4285714285714284e-05,0.00025941269841269843,0.006458803335553336,3e-05,0.00056,0.01113
"hall, harry",0.010036678571428568,0.13148730303030304,0.36209574206349204,0.6867379945903769,0.1714,0.43086,0.74704
"kizzire, patton",0.0,0.0,0.00040798412698412706,0.008749541500982677,0.0,0.00084,0.01452
