player_name,simulated_win_prob,top_5,top_10,top_20,simulated_win_prob_a,top_5_a,top_10_a,top_20_a
"hisatsune, ryo",0.0036,0.03221660714285713,0.08441620057720062,0.21521950779775792,27678,3004,1085,365
"hoge, tom",0.00028,0.003484464285714285,0.01214803138528139,0.04471610328560333,357043,28599,8132,2136
"hojgaard, nicolai",0.01667,0.08350692063492053,0.16139241305916271,0.3070051071983577,5899,1098,520,226
"homa, max",0.00155,0.014807682539682548,0.04218015534465536,0.12078313222888229,64416,6653,2271,728
"horschel, billy",0.00166,0.01368584523809524,0.03638861868686873,0.0993693704351205,60141,7207,2648,906
"hovland, viktor",0.02476,0.11579563888888862,0.21348730699855795,0.38589275097125125,3939,764,368,159
"im, sungjae",0.01066,0.056564857142857,0.1148036751859253,0.23156181307581383,9281,1668,771,332
"keefer, johnny",0.00205,0.01612703571428572,0.041709337662337684,0.11544952156177136,48680,6101,2298,766
"kim, michael",0.00507,0.03193554761904764,0.07554940764790762,0.1737498580031079,19624,3031,1224,476
"kim, si woo",0.02228,0.1174447857142857,0.2306492715062719,0.431113966144967,4388,751,334,132
"kitayama, kurt",0.01192,0.06397796825396808,0.13237162348762352,0.2649014892329891,8289,1463,655,277
"knapp, jake",0.01879,0.09625247619047615,0.18638006782106842,0.34995185467310463,5222,939,437,186
"lee, min woo",0.02346,0.11541515476190474,0.218208391414142,0.39808139202464315,4163,766,358,151
"lipsky, david",0.00221,0.015683146825396847,0.04020023484848478,0.10229622813297815,45149,6276,2388,878
"lowry, shane",0.01615,0.08016246825396804,0.1584586973304472,0.3074032374014872,6092,1147,531,225
"macintyre, robert",0.03906,0.159382396825397,0.2761568098845602,0.4609930925185926,2460,527,262,117
"mccarthy, denny",0.00253,0.02284436904761907,0.05945071620046616,0.15536123548673483,39426,4277,1582,544
"mccarty, matt",0.00344,0.029196654761904764,0.07515925155400151,0.18945207281607268,28970,3325,1231,428
"mcnealy, maverick",0.02036,0.10299838095238104,0.20130391822066832,0.3790198462648462,4812,871,397,164
"morikawa, collin",0.03462,0.1476803174603175,0.26333603643578596,0.4495881641969156,2789,577,280,122
"mouw, william",0.00102,0.013063301587301592,0.0385419392551893,0.1120494267399264,97939,7555,2495,792
"noren, alex",0.00954,0.059766404761904514,0.1322755853590851,0.284345663253413,10382,1573,656,252
"novak, andrew",0.00176,0.017393734126984136,0.04953923556998545,0.13703725926850932,56718,5649,1919,630
"pendrith, taylor",0.00351,0.02846631349206352,0.07178097460872462,0.1749040691530691,28390,3413,1293,472
"penge, marco",0.00694,0.041924611111111114,0.0890713384948385,0.1906929148351651,14309,2285,1023,424
"poston, j.t.",0.00601,0.043497261904761934,0.10211871392496391,0.2369199284881795,16539,2199,879,322
"potgieter, aldrich",0.00125,0.010146023809523811,0.026656654761904743,0.07448578804528805,79900,9756,3651,1243
"putnam, andrew",0.00173,0.018963825396825427,0.054918950327450054,0.15942691577866575,57703,5173,1721,527
"rodgers, patrick",0.00152,0.01599430952380954,0.045110659451659485,0.12402855283605295,65689,6152,2117,706
"schauffele, xander",0.05356,0.21424237301587368,0.3620872733100236,0.574088332806083,1767,367,176,-135
"scheffler, scottie",0.13966,0.39984082936507925,0.572775542901543,0.7650731565656576,616,150,-134,-326
"schenk, adam",0.00018,0.002308531746031745,0.008399833694083692,0.03143936471861471,555456,43218,11805,3081
"smith, jordan",0.00284,0.024443496031746018,0.06535154112554102,0.17050101887001884,35111,3991,1430,487
"smotherman, austin",0.00191,0.019146821428571457,0.05227046645021644,0.14082248887223894,52256,5123,1813,610
"spaun, j.j.",0.01273,0.07622504365079348,0.16366675793650795,0.33850711355311386,7755,1212,511,195
"spieth, jordan",0.02454,0.11503549206349233,0.2134603606116117,0.3867141279276271,3975,769,368,159
"stevens, samuel",0.00538,0.04446923412698412,0.10939501190476204,0.26109034851259855,18487,2149,814,283
"straka, sepp",0.0144,0.08154481746031736,0.1657230887445888,0.32733224494949553,6844,1126,503,205
"taylor, nick",0.00387,0.033458194444444395,0.08421758152958161,0.20898239080364003,25740,2889,1087,379
"theegala, sahith",0.00762,0.04854486111111098,0.10798901082251086,0.23306255824730931,13023,1960,826,329
"thomas, justin",0.01779,0.09104915873015838,0.1786658795093796,0.33757548032523016,5521,998,460,196
"thorbjornsen, michael",0.00662,0.04508224206349204,0.10122730735930739,0.2218903394383391,15006,2118,888,351
"valimaki, sami",0.00194,0.017306095238095252,0.046217818542568505,0.12445232975357984,51446,5678,2064,704
"vegas, jhonattan",0.00066,0.0062334404761904775,0.018927000721500737,0.06169868581418575,151415,15943,5183,1521
"vilips, karl",0.00115,0.009985861111111115,0.026203891053391062,0.07161369197469211,86857,9914,3716,1296
"wallace, matt",0.0036,0.02751344444444444,0.068785626984127,0.17026606984681966,27678,3535,1354,487
"woodland, gary",0.0049,0.034705718253968273,0.08203496645021634,0.19218906820956844,20308,2781,1119,420
"yellamaraju, sudarshan",0.00072,0.01072976587301588,0.03500700432900432,0.11378889829614837,138789,9220,2757,779
"young, cameron",0.04137,0.186691825396826,0.3319871165223671,0.5500642772227765,2317,436,201,-122
