player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"lee, min woo",0.81,0.0,,0.0,,0.0,0.0,,0.15,-0.08,,0.23,-0.05,0.5,0.08,0.0,0.11,0.0,-0.0,0.0,0.03,-0.13,-0.03,0.05,-0.04,0.81,2.69,55.0
"lowry, shane",1.03,0.0,,0.0,,0.0,0.0,,0.21,-0.08,,0.27,-0.04,0.56,0.1,0.01,0.07,0.0,0.0,0.0,-0.1,-0.13,0.04,0.15,-0.03,1.03,2.42,57.0
"macintyre, robert",1.32,0.0,,0.0,,0.0,0.0,,0.2,-0.1,,0.31,-0.05,0.75,0.16,-0.02,0.07,0.0,0.0,0.0,0.01,-0.13,0.01,0.08,0.03,1.32,2.49,59.0
"matsuyama, hideki",1.73,0.0,,0.0,,0.0,0.0,,0.24,-0.08,,0.3,-0.04,0.72,0.21,-0.01,0.1,0.0,-0.0,0.0,-0.04,0.07,0.07,0.15,0.06,1.73,2.4,69.0
"mccarty, matt",0.35,0.0,,0.0,,0.0,0.0,-0.02,,-0.0,0.09,,0.01,0.2,0.1,-0.03,-0.04,-0.0,0.0,0.0,-0.01,0.08,0.0,-0.02,0.0,0.35,3.12,63.0
"mcilroy, rory",1.88,0.0,,0.0,,0.0,0.0,,0.34,-0.15,,0.48,-0.08,1.03,0.15,-0.02,0.29,0.0,0.0,0.0,-0.07,-0.13,-0.06,0.13,-0.05,1.88,2.91,43.0
"mcnealy, maverick",1.07,0.0,,0.0,,0.0,0.0,,0.18,-0.08,,0.29,-0.04,0.48,0.08,-0.02,0.05,-0.0,0.0,0.0,0.01,0.07,-0.01,0.05,0.03,1.07,2.96,61.0
"mitchell, keith",0.79,0.0,,0.0,,0.0,0.0,,0.13,-0.06,,0.17,-0.03,0.34,0.04,0.01,0.14,-0.0,-0.0,0.0,-0.04,0.07,-0.06,0.08,0.0,0.79,2.57,63.0
"morikawa, collin",1.63,0.0,,0.0,,0.0,0.0,,0.28,-0.13,,0.35,-0.07,0.81,0.19,-0.02,0.08,0.0,-0.0,0.0,0.02,-0.13,0.11,0.15,0.01,1.63,2.58,45.0
"noren, alex",0.89,0.0,,0.0,,0.0,0.0,,0.18,-0.06,,0.25,-0.04,0.44,0.12,-0.02,0.04,0.0,0.0,0.0,-0.18,0.07,0.08,0.02,0.0,0.89,2.39,63.0
