player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,skill_v2_delta,age,dsle_,c_adj,exp,c_hist,pred,std_dev,sample
"tosti, alejandro",-1.38,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.28,,-0.03,-0.55,-0.4,0.04,0.04,-0.0,0.0,0.0,-0.02,0.01,-0.13,-0.02,-0.02,-1.38,3.03,41.0
"van rooyen, erik",-0.34,0.0,,0.0,,0.0,0.0,-0.02,,0.0,-0.05,,-0.01,-0.06,0.01,-0.03,-0.05,-0.0,0.0,0.0,-0.08,0.01,-0.04,0.01,-0.03,-0.34,2.35,45.0
"vanderlaan, john",-0.66,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.22,,-0.01,-0.31,-0.09,0.02,0.02,0.0,0.0,0.0,-0.02,0.01,-0.02,-0.02,0.0,-0.66,2.59,45.0
"ventura, kristoffer",0.25,0.0,,0.0,,0.0,0.0,-0.01,,-0.0,-0.03,,-0.0,0.06,0.22,-0.01,0.06,0.0,0.0,0.0,-0.03,0.03,-0.04,0.01,0.0,0.25,2.43,37.0
"vilips, karl",-0.32,0.0,,0.0,,0.0,0.0,-0.02,,0.0,-0.09,,-0.01,-0.09,-0.11,0.01,-0.04,-0.0,-0.0,0.0,0.02,0.03,-0.08,-0.01,0.08,-0.32,3.09,45.0
"walker, danny",-1.4,0.0,,0.0,,0.0,0.0,-0.0,,0.0,-0.3,,-0.02,-0.62,-0.33,0.03,-0.01,0.0,0.0,0.0,-0.02,0.01,-0.1,-0.02,-0.02,-1.4,3.2,49.0
"wallace, matt",0.62,0.0,,0.0,,0.0,0.0,,0.12,-0.06,,0.1,-0.03,0.32,0.14,-0.0,-0.02,0.0,0.0,0.0,-0.06,0.02,-0.01,0.08,0.02,0.62,2.34,59.0
"whaley, vince",-0.65,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.11,,-0.01,-0.2,-0.06,-0.01,-0.07,0.0,0.0,0.0,-0.03,0.01,-0.1,0.03,-0.1,-0.65,2.3,45.0
"wise, aaron",-0.54,0.0,,0.0,,0.0,0.0,-0.03,,0.0,-0.17,,-0.01,-0.23,-0.12,0.01,-0.01,0.0,0.0,0.0,-0.02,0.01,-0.0,0.03,0.01,-0.54,3.2,27.0
"wu, dylan",-0.7,0.0,,0.0,,0.0,0.0,-0.01,,0.0,-0.17,,-0.02,-0.29,-0.12,-0.0,-0.07,-0.0,0.0,0.0,-0.02,0.03,0.05,0.01,-0.1,-0.7,2.3,45.0
"young, cameron",1.55,0.0,,0.0,,0.0,0.0,,0.25,-0.17,,0.39,-0.07,0.81,0.19,0.01,0.14,0.0,0.0,0.0,0.02,0.02,-0.14,0.01,0.08,1.55,2.93,61.0
"yu, kevin",0.41,0.0,,0.0,,0.0,0.0,-0.02,,-0.0,0.11,,0.0,0.23,0.15,0.0,0.04,-0.0,-0.0,0.0,-0.0,0.03,-0.05,-0.0,-0.08,0.41,2.59,53.0
