player_name,pred_base,boost,override,override_adj,dg_pred,dg_adj,sheet_boost,max,max_50,lt_form,int_form,sg_6m,sma_6m,skill,sg_adj,putting,driving,majors,links,age,dsle_,c_adj,exp,c_hist,pred,decomp_residual,std_dev,sample
"li, haotong",0.1,0.0,,0.0,0.16,0.03,0.0,0.03,,-0.01,0.03,,0.01,0.03,-0.18,0.0,0.05,0.0,0.11,0.02,0.06,-0.01,-0.04,0.0,0.13,0.0,3.17,49.0
"lowry, shane",1.52,0.0,,0.0,1.42,0.0,0.0,,0.28,-0.03,,0.13,-0.02,0.59,0.07,0.01,0.05,0.12,0.4,-0.09,0.06,-0.01,-0.03,0.0,1.52,0.0,2.45,61.0
"macintyre, robert",1.95,0.0,,0.0,1.65,0.0,0.0,,0.28,-0.03,,0.15,-0.03,0.69,0.22,-0.01,0.05,0.05,0.5,0.03,0.09,0.0,-0.04,0.0,1.95,0.0,2.48,63.0
"matsuyama, hideki",0.7,0.0,,0.0,0.86,0.04,0.0,,0.35,-0.02,,0.15,-0.02,0.45,0.08,-0.0,-0.0,0.05,-0.19,-0.02,-0.09,-0.0,-0.02,0.0,0.74,0.0,2.5,65.0
"mccarty, matt",0.33,0.0,,0.0,0.26,-0.03,0.0,0.03,,-0.01,0.09,,0.03,0.14,0.02,-0.01,-0.05,-0.03,0.04,0.04,0.06,0.0,-0.04,0.0,0.29,0.0,3.03,67.0
"mcdonald, jack",-1.36,0.0,,0.0,-1.36,0.0,0.0,,,,,,,,,,,0.0,0.0,,0.0,-0.0,-0.04,0.0,-1.36,0.0,2.53,0.0
"mcilroy, rory",2.37,0.0,,0.0,2.15,0.0,0.0,,0.49,-0.05,,0.24,-0.04,1.11,0.21,-0.02,0.19,0.06,0.18,-0.06,0.09,-0.01,-0.02,0.0,2.37,0.0,2.91,47.0
"mckibbin, tom",0.49,0.0,,0.0,0.6,0.06,0.0,0.02,,-0.0,0.04,,-0.0,0.12,0.09,0.02,0.1,-0.01,-0.0,0.07,0.08,-0.01,-0.04,0.0,0.55,0.0,2.3,59.0
"mcnealy, maverick",1.05,0.0,,0.0,0.88,0.0,0.0,,0.25,-0.04,,0.14,-0.03,0.74,0.04,-0.01,-0.01,0.01,0.04,0.02,-0.09,0.01,-0.03,0.0,1.05,0.0,2.84,63.0
"mitchell, keith",0.66,0.0,,0.0,0.49,-0.04,0.0,,0.17,-0.03,,0.07,-0.02,0.47,0.09,-0.01,0.11,-0.01,-0.1,-0.02,-0.0,-0.01,-0.04,0.0,0.62,0.0,2.51,69.0
